"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006405","GO:0006405","RNA export from nucleus","56/5323","86/14636",5.40155125119593e-08,1.88268613609865e-05,1.59410373767352e-05,"ALKBH5/ALYREF/CASC3/CHTOP/DDX19A/DDX39A/DHX9/EIF4A3/ENY2/FMR1/FYTTD1/GLE1/KHDRBS1/MCM3AP/NCBP1/NEAT1/NOL6/NSUN2/NUP107/NUP133/NUP188/NUP214/NUP85/NUP88/NUP93/NUP98/NXF1/NXF3/NXT1/NXT2/PABPN1/PHAX/POLDIP3/POM121/POM121C/POM121L2/RAE1/RAN/RBM15B/RBM33/RBM8A/SARNP/SETD2/SMG5/SMG6/SMG7/SRSF3/SUPT6H/THOC1/THOC2/THOC6/THOC7/UPF1/XPO1/XPO5/ZC3H11A",56
"GO:1905897","GO:1905897","regulation of response to endoplasmic reticulum stress","51/5323","78/14636",1.73430408614237e-07,5.17272372029795e-05,4.37983690343983e-05,"ALOX5/ATF6/ATXN3/BAG6/BAK1/BAX/BCAP31/BCL2L1/BCL2L11/CAV1/CLU/COPS5/CREB3/CREB3L1/DAB2IP/DNAJB9/EIF2AK3/ERN1/GRINA/HERPUD1/HSPA1A/HSPA5/LPCAT3/MANF/MBTPS2/NCK1/NUPR1/OPA1/PARK7/PDX1/PIK3R1/PMAIP1/PPP1R15A/PPP1R15B/PTPN1/PTPN2/RNF185/RNFT2/SERINC3/SGTA/SVIP/TMBIM6/TMEM33/TMX1/TXNDC12/UFL1/USP13/USP14/USP19/USP25/XBP1",51
"GO:0051028","GO:0051028","mRNA transport","72/5323","121/14636",1.75392301418554e-07,5.17272372029795e-05,4.37983690343983e-05,"ALKBH5/ALYREF/ARC/CASC3/CETN2/CETN3/CHTOP/DDX19A/DDX39A/DHX9/EIF4A3/ENY2/FMR1/FXR2/FYTTD1/GLE1/HSF1/IGF2BP1/IGF2BP2/KHSRP/MCM3AP/MVP/NCBP1/NEAT1/NSUN2/NUP107/NUP133/NUP188/NUP205/NUP210/NUP214/NUP50/NUP54/NUP85/NUP88/NUP93/NUP98/NUTF2/NXF1/NXF3/NXT1/NXT2/PABPN1/PEG10/POLDIP3/POM121/POM121C/QKI/RAE1/RBM15B/RBM8A/SARNP/SEC13/SEH1L/SENP2/SETD2/SLBP/SMG5/SMG6/SMG7/SRSF3/SRSF7/SUPT6H/THOC1/THOC2/THOC6/THOC7/UPF1/XPO1/ZC3H11A/ZFP36/ZFP36L1",72
"GO:0006383","GO:0006383","transcription by RNA polymerase III","40/5323","57/14636",2.12608651426846e-07,5.6069084068418e-05,4.74746877706397e-05,"BAZ1B/BDP1/BRF1/CRCP/DDX21/GTF3C1/GTF3C2/GTF3C5/GTF3C6/INHBA/IVNS1ABP/MTOR/MYBBP1A/POLR1C/POLR1D/POLR2E/POLR2F/POLR2H/POLR2L/POLR3A/POLR3B/POLR3D/POLR3E/POLR3F/POLR3G/POLR3GL/POLR3H/POLR3K/RPTOR/SETD5/SF3B1/SMARCA5/SNAPC1/SNAPC2/SNAPC3/SNAPC4/ZC3H8/ZNF143/ZNF345/ZNF76",40
"GO:0016072","GO:0016072","rRNA metabolic process","125/5323","238/14636",2.19362613726205e-07,5.6069084068418e-05,4.74746877706397e-05,"ABT1/BMS1/BRF1/BRIX1/BYSL/CHD7/DDX18/DDX21/DDX27/DDX47/DDX49/DDX51/DDX54/DDX56/DHX37/DIS3L/DKC1/EBNA1BP2/EIF4A3/EIF6/EMG1/ERCC2/ERI2/ERI3/EXOSC10/EXOSC3/EXOSC5/EXOSC6/EXOSC9/FBL/FBLL1/FCF1/FRG1/FTSJ3/GEMIN4/GTF3C1/GTF3C2/GTF3C5/GTF3C6/HEATR1/IMP3/IMP4/KRI1/LSM6/MAK16/MAPT/MPHOSPH10/MRTO4/MTOR/NAT10/NCL/NGDN/NHP2/NOC4L/NOL10/NOL11/NOL6/NOL8/NOL9/NOLC1/NOP10/NOP14/NOP2/NSUN5/NUDT16/PA2G4/PDCD11/PELP1/PES1/PIH1D1/POLR1B/POLR1D/POLR1E/POLR2E/POP4/PPAN/PWP1/PWP2/REXO4/RIOK3/RPL10A/RPL26/RPL7L1/RPP30/RPP40/RPS15/RPS27/RPUSD1/RPUSD4/RRP1/RRP15/RRP1B/RRP36/RRP7A/RRP9/RRS1/RSL1D1/SBDS/SHQ1/SIRT7/SMARCA4/SMARCB1/SPIN1/SRFBP1/SUV39H1/TCOF1/TFB1M/TRMT112/TRMT2B/TSR1/TSR2/URB1/UTP14A/UTP15/UTP18/UTP20/UTP3/WDR18/WDR43/WDR46/WDR55/WDR74/XRN1/XRN2/YTHDF2",125
"GO:0022618","GO:0022618","protein-RNA complex assembly","100/5323","183/14636",3.09380331341482e-07,7.02773535315113e-05,5.95050814845512e-05,"ABT1/ADAR/ATR/BRIX1/CD2BP2/CELF1/CELF2/CELF3/CELF4/CLNS1A/CLP1/COIL/CPSF7/DDX1/DDX23/DDX28/DDX42/DENR/DHX30/DHX9/DICER1/EIF2S2/EIF3A/EIF3B/EIF3G/EIF3H/EIF3I/EIF3J/EIF5/EIF6/ERAL1/GCFC2/GEMIN4/GEMIN5/GEMIN7/HSP90AA1/HSP90AB1/HTATSF1/LSM2/LSM4/LUC7L2/LUC7L3/MDN1/MRPL20/MRPS7/NCBP1/NLE1/NOP2/NUFIP1/PIH1D1/POLR2D/PPAN/PRKRA/PRMT5/PRMT7/PRPF19/PRPF3/PRPF39/PRPF6/PRPF8/PTBP2/PUF60/PWP2/RPL23A/RPS15/RPS27/RPS27L/RPSA/RRP7A/RRS1/RUVBL1/RUVBL2/SART3/SF1/SF3A1/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SFSWAP/SHQ1/SNRNP200/SNRPB/SNRPC/SNRPD1/SNRPD2/SNRPD3/SRPK1/SRPK2/SRSF6/SRSF9/STRAP/TARBP2/TSSC4/U2AF2/USP39/USP4/WDR77/XRCC5",100
"GO:0006302","GO:0006302","double-strand break repair","135/5323","262/14636",3.11610592080253e-07,7.02773535315113e-05,5.95050814845512e-05,"ABL1/ACTB/ACTL6A/ACTR2/ACTR5/ARID1B/ARID2/ATR/ATRIP/BABAM1/BCL7A/BCL7B/BCL7C/BRCA1/BRCC3/BRD7/BRIP1/CDCA5/CHD4/CSNK2A1/DCLRE1A/DDX1/DMAP1/DNA2/DPF1/DPF2/EME1/EME2/EPC2/EYA1/EYA3/FANCB/FEN1/FOXM1/FUS/GEN1/GINS4/HELB/HMGB1/HMGB2/HSF1/HTATSF1/HUS1/IFFO1/INO80/INTS3/KAT5/KDM2A/KLHL15/LIG4/MAD2L2/MAGEF1/MCM2/MCM3/MCM4/MCM6/MCM7/MEAF6/MLH1/MMS22L/MORF4L2/MSH2/MUS81/NBN/NHEJ1/NUDT16L1/OGG1/OTUB1/PARP1/PARP3/PBRM1/PIAS4/PLK1/POLA1/POLM/POLN/POT1/PPP4R2/PPP5C/PRPF19/PSMD14/RAD50/RAD51AP1/RAD51C/RAD51D/RAD54B/RBBP8/RECQL5/REV3L/RFWD3/RMI2/RNF168/RNF169/RPA1/RPA2/RPA4/RUVBL1/RUVBL2/SAMHD1/SENP3/SETD2/SFPQ/SIRT6/SMARCA4/SMARCAD1/SMARCAL1/SMARCB1/SMARCC1/SMARCD1/SMARCE1/SPIRE2/SWSAP1/TDP1/TERF2IP/TFIP11/TIMELESS/TNKS1BP1/TOPBP1/TP53BP1/TRIP13/TRRAP/TWIST1/UBE2N/UBQLN4/UHRF1/VCP/WDR48/XRCC2/XRCC3/XRCC5/XRCC6/ZBTB7A/ZFYVE26/ZMYND8/ZSWIM7",135
"GO:0071826","GO:0071826","protein-RNA complex organization","104/5323","193/14636",4.50563655933601e-07,9.5970058713857e-05,8.12595505789021e-05,"ABT1/ADAR/ATR/BRIX1/CD2BP2/CELF1/CELF2/CELF3/CELF4/CLNS1A/CLP1/COIL/CPSF7/DDX1/DDX23/DDX28/DDX42/DENR/DHX30/DHX9/DICER1/EIF2S2/EIF3A/EIF3B/EIF3G/EIF3H/EIF3I/EIF3J/EIF5/EIF6/ERAL1/FAF2/GCFC2/GEMIN4/GEMIN5/GEMIN7/HSP90AA1/HSP90AB1/HTATSF1/LSM2/LSM4/LUC7L2/LUC7L3/MDN1/MRPL20/MRPS7/NCBP1/NLE1/NOP2/NUFIP1/PIH1D1/POLR2D/PPAN/PRKRA/PRMT5/PRMT7/PRPF19/PRPF3/PRPF39/PRPF6/PRPF8/PTBP2/PUF60/PWP2/RPL23A/RPS15/RPS27/RPS27L/RPSA/RRP7A/RRS1/RUVBL1/RUVBL2/SART3/SF1/SF3A1/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SFSWAP/SHQ1/SNRNP200/SNRPB/SNRPC/SNRPD1/SNRPD2/SNRPD3/SRPK1/SRPK2/SRSF6/SRSF9/STRAP/TARBP2/TFIP11/TSSC4/U2AF2/USP39/USP4/VCP/WDR77/XRCC5/ZFAND1",104
"GO:0098781","GO:0098781","ncRNA transcription","75/5323","130/14636",5.56057224067504e-07,0.000112206494582885,9.50072287548023e-05,"BMP2/BMP4/BRF1/CC2D1A/CELF3/DDX5/EGFR/EGR1/ELL2/ERCC2/FGF2/FOS/FOSL1/GATA2/GNL3/GTF3C1/GTF3C2/GTF3C5/GTF3C6/HIF1A/JUN/KLF4/KLF5/LARP7/MEPCE/MTOR/MYB/MYC/MYCN/NCL/NFATC4/NFIB/NOL11/NOTCH3/PIH1D1/POLR1B/POLR1D/POLR1E/POLR2E/POLR2F/POLR2L/POLR3A/POLR3B/POLR3D/POLR3E/PPARA/PPARD/PPARG/PWP1/RELA/RPAP2/SIRT7/SMAD1/SMAD6/SMARCA4/SMARCB1/SNAPC1/SNAPC2/SNAPC3/SNAPC4/SOX9/SPIN1/SREBF1/STAT3/TCOF1/TEAD1/TGFB1/TWIST1/USPL1/VEGFA/WDR82/ZC3H4/ZC3H8/ZNF143/ZNF512B",75
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","144/5323","287/14636",9.65112296335466e-07,0.000185012027207509,0.000156652964310451,"ABL1/ADCY10/AIFM1/AKT1/ARHGEF2/ARL6IP5/ATAD5/BAD/BAG6/BAK1/BAX/BCAP31/BCL2L1/BCL2L11/BCL2L2/BCL3/BDKRB2/BID/BRCA1/BRSK2/CASP2/CASP3/CAV1/CD24/CD44/CDKN1A/CEBPB/CHAC1/CLU/CREB3/CREB3L1/CTNNB1/CUL1/CUL2/CUL4A/CUL5/CXCL12/CYLD/DAB2IP/DAXX/DDIT3/DDIT4/DDX5/DYRK2/E2F1/E2F2/EDA2R/EIF2AK3/EIF5A/ENO1/EPHA2/ERCC2/ERN1/FBXO7/FBXW7/FHIT/FIS1/FNIP2/GATA4/GPX1/GRINA/HDAC1/HELLS/HERPUD1/HIF1A/HINT1/HNRNPK/HRAS/HSPA1A/HSPB1/IER3/IFI16/IFI6/ING2/ITPR1/IVNS1ABP/MAP2K4/MDM2/MLH1/MLLT11/MMP2/MSH2/MSX1/MYBBP1A/MYC/NBN/NCK1/NDUFS3/NFATC4/NME5/NOC2L/NONO/NUPR1/OPA1/PARK7/PARP1/PDK1/PDK2/PDX1/PERP/PIAS4/PIK3CB/PIK3R1/PLAGL2/PLEKHF1/PMAIP1/POU4F1/POU4F2/PPIA/PPIF/PPM1F/PPP1R15A/PRKRA/PTPN1/PTPN2/PTTG1IP/QRICH1/RPL26/RPS27L/SCN2A/SERINC3/SFN/SFPQ/SHISA5/SNAI2/SOD1/STYXL1/TAF9B/TMBIM6/TNFRSF10B/TP53BP2/TP73/TRAF2/TRAP1/TRIAP1/TRIB3/TXNDC12/URI1/USP15/USP28/USP47/XBP1/ZNF385A/ZNF622",144
